Bee_ID,Species,Date COLLECTED,Plant collected on,Farm,PA,Count,Wing_MM,Counter_Inits,Notes,Treatment
186,vagans,7/22/21,zinnia,LAUR,0,0,,SG,really old discolored gut,CUT
187,gris,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
188,imp,7/22/21,zinnia,LAUR,1,3,,SG,,CUT
189,imp,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
190,NA,7/22/21,zinnia,LAUR,0,0,,RY,"queen? saved in freezer, gris/bimac/vagans",CUT
191,imp,7/22/21,zinnia,LAUR,1,9,,SG,,CUT
192,bimac,7/22/21,zinnia,LAUR,1,150,,RY/SG,,CUT
193,imp,7/22/21,zinnia,LAUR,1,3,,SG,messy sample/ maybe dead crith.,CUT
194,imp,7/22/21,zinnia,LAUR,1,53,,SG,,CUT
195,imp,7/22/21,zinnia,LAUR,1,75,,SG,,CUT
196,imp,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
197,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
198,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
199,imp,7/22/21,zinnia,LAUR,1,92,,SG,,CUT
200,gris,7/22/21,zinnia,LAUR,1,45,,SG,,CUT
201,imp,7/22/21,zinnia,LAUR,1,53,,RY/SG,"black nectar crop, still alive",CUT
202,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
203,imp,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
204,imp,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
205,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
206,imp,7/22/21,zinnia,LAUR,NA,NA,,NA,died in incubator,CUT
207,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
208,imp,7/22/21,zinnia,LAUR,1,69,,SG,,CUT
209,imp,7/22/21,zinnia,LAUR,1,15,,SG,,CUT
210,imp,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
211,bimac,7/22/21,zinnia,LAUR,1,55,,SG/RY,,CUT
212,imp,7/26/21,helianthus,GOLO,1,1,,SG,few crithidia outside,CON
213,imp,7/26/21,eutrochium,GOLO,1,316,,SG,,CON
214,vagans,7/26/21,dahlia,GOLO,0,0,,SG,counted 7/27? missing then found?,CON
215,vagans,7/26/21,,GOLO,0,0,,SG,,CON
216,imp,7/26/21,eutrochium,GOLO,0,0,,SG,,CON
217,imp,7/26/21,squash,GOLO,0,0,,SG,,CON
218,imp,7/26/21,zinnia,GOLO,0,0,,SG,,CON
219,vagans,7/26/21,dahlia,GOLO,NA,NA,,NA,old die,CON
220,vagans,7/26/21,,GOLO,1,37,,SG,,CON
221,imp,7/26/21,ageratum,GOLO,0,0,,SG,,CON
222,vagans,7/26/21,,GOLO,1,2,,SG,,CON
223,gris,7/26/21,,GOLO,1,82,,SG,,CON
224,imp,7/26/21,gomphrena,GOLO,1,246,,SG,,CON
225,imp,7/27/21,eutrochium,GOLO,0,0,,SG,,CON
