bee_ID,sp,Date COLLECTED,j_date,Plant collected on,farm,visit,PA,crit_cnt,log10_cnt,Wing_MM,Hand_Wing,Counter_Inits,Notes,Treatment
161,bimac,7/20/2021,2021201,zinnia,LAUR,1,P,80,1.903089987,3.124,,SG,,CUT
162,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.059,,SG,,CUT
163,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,58,1.763427994,2.543,,RY,,CUT
164,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.502,,RY,,CUT
165,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,6,0.77815125,2.129,,SG,,CUT
166,bimac,7/20/2021,2021201,zinnia,LAUR,1,P,99,1.995635195,2.773,,SG,,CUT
167,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.544,,RY,,CUT
168,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,13,1.113943352,2.183,,RY,,CUT
169,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,5,0.698970004,2.175,,SG,all 7/20 bees were briefly in fridge so Elisa could replace sucrose,CUT
170,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,1.977,,RY,,CUT
171,imp,7/22/2021,2021203,zinnia,LAUR,1,P,22,1.342422681,2.808,,RY/SG,,CUT
172,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.774,,SG,,CUT
173,gris,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.43,,SG,,CUT
174,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.587,,RY,,CUT
175,bimac,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.7,,RY,queen? kept frozen,CUT
176,imp,7/22/2021,2021203,zinnia,LAUR,1,P,1,0,2.502,,SG,,CUT
177,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.939,,SG,,CUT
178,gris,7/22/2021,2021203,zinnia,LAUR,1,NA,NA,NA,NA,,,queen? died in incubator not in freezer,CUT
179,gris,7/22/2021,2021203,zinnia,LAUR,1,P,142,2.152288344,3.23878,3.6,SG,rod like,CUT
180,bimac,7/22/2021,2021203,zinnia,LAUR,1,NA,NA,NA,NA,,,male,CUT
181,bimac,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.041,,SG,looked almost dead b4 CO2/ rod like bacteria,CUT
182,bimac,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.208,,,,CUT
183,bimac,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.294486,3.67,RY,no initialws but very likely RY,CUT
184,gris,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.326318,3.71,RY,dark gut,CUT
185,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.891,,RY,,CUT
186,vagans,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.421814,3.83,SG,really old discolored gut,CUT
187,gris,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.366108,3.76,SG,,CUT
188,imp,7/22/2021,2021203,zinnia,LAUR,1,P,3,0.477121255,2.404,,SG,,CUT
189,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.277,,SG,,CUT
190,NA,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.67647,4.15,RY,"queen? saved in freezer, gris/bimac/vagans",CUT
191,imp,7/22/2021,2021203,zinnia,LAUR,1,P,9,0.954242509,2.906,,SG,,CUT
192,bimac,7/22/2021,2021203,zinnia,LAUR,1,P,150,2.176091259,2.953,,RY/SG,,CUT
193,imp,7/22/2021,2021203,zinnia,LAUR,1,P,3,0.477121255,3.044,,SG,messy sample/ maybe dead crith.,CUT
194,imp,7/22/2021,2021203,zinnia,LAUR,1,P,53,1.72427587,2.717,,SG,,CUT
195,imp,7/22/2021,2021203,zinnia,LAUR,1,P,75,1.875061263,3.058,,SG,,CUT
196,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.825,,SG,,CUT
197,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,3.57,,RY,,CUT
198,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.511,,RY,,CUT
199,imp,7/22/2021,2021203,zinnia,LAUR,1,P,92,1.963787827,2.823,,SG,,CUT
200,gris,7/22/2021,2021203,zinnia,LAUR,1,P,45,1.653212514,3.214906,3.57,SG,,CUT
201,imp,7/22/2021,2021203,zinnia,LAUR,1,P,53,1.72427587,2.765,,RY/SG,"black nectar crop, still alive",CUT
202,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.953,,RY,,CUT
203,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.531,,SG,,CUT
204,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.872,,SG,,CUT
205,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.911,,RY,,CUT
206,imp,7/22/2021,2021203,zinnia,LAUR,1,NA,NA,NA,NA,,NA,died in incubator,CUT
207,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.823,,RY,,CUT
208,imp,7/22/2021,2021203,zinnia,LAUR,1,P,69,1.838849091,3.16,,SG,,CUT
209,imp,7/22/2021,2021203,zinnia,LAUR,1,P,15,1.176091259,2.508,,SG,,CUT
210,imp,7/22/2021,2021203,zinnia,LAUR,1,A,0,0,2.682,,SG,,CUT
211,bimac,7/22/2021,2021203,zinnia,LAUR,1,P,55,1.740362689,2.676,,SG/RY,,CUT
212,imp,7/26/2021,2021207,helianthus,GOLO,1,P,1,0,2.653,,SG,few crithidia outside,CON
213,imp,7/26/2021,2021207,eutrochium,GOLO,1,P,316,2.499687083,2.44,,SG,,CON
214,vagans,7/26/2021,2021207,dahlia,GOLO,1,A,0,0,2.594182,2.79,SG,counted 7/27? missing then found?,CON
215,vagans,7/26/2021,2021207,helianthus,GOLO,1,A,0,0,2.231,,SG,,CON
216,imp,7/26/2021,2021207,eutrochium,GOLO,1,A,0,0,2.141,,SG,,CON
217,imp,7/26/2021,2021207,squash,GOLO,1,A,0,0,3.069,,SG,,CON
218,imp,7/26/2021,2021207,zinnia,GOLO,1,A,0,0,3.068,,SG,,CON
219,vagans,7/26/2021,2021207,dahlia,GOLO,1,NA,NA,NA,NA,,NA,old die,CON
220,vagans,7/26/2021,2021207,helianthus,GOLO,1,P,37,1.568201724,2.454,,SG,,CON
221,imp,7/26/2021,2021207,ageratum,GOLO,1,A,0,0,3.078,,SG,,CON
