date,visit,farm,genus,num_row,row_length,row_cnt,inflr_count,tot_inflr,initials,sf_nsfcut_border,cut_border,row_cover,notes
8/3/2021,1,LASA,erigeron,1,69,2,150,5175,RY,border,border,row,wild on side of farm
8/3/2021,1,LASA,helianthus,1,52,52,60,60,RY,sf,cut,row,sterile
8/3/2021,1,LASA,helianthus,1,20,10,36,72,RY,sf,cut,row,sterile
8/3/2021,1,LASA,dahlia,1,445,445,20,20,RY,nsfcut,cut,row,
8/3/2021,1,LASA,dahlia,1,445,445,5,5,RY,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,2,460,10,3,276,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,113,10,5,56.5,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,42,10,5,21,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,93,10,3,27.9,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,336,10,6,201.6,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,50,50,6,6,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,33,33,45,45,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,60,10,12,72,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,317,10,12,380.4,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,tagetes,1,397,397,18,18,SG,nsfcut,cut,row,marigold
8/4/2021,2,LAUR,zinnia,1,33,10,12,39.6,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,100,10,12,120,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,rudbeckia,1,142,70,39,79.11428571,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,139,10,13,180.7,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,helipterum,1,300,300,40,40,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,rudbeckia,1,18,18,45,45,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,calendula,1,290,10,32,928,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,60,10,9,54,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,calendula,1,160,10,32,512,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,calendula,1,290,10,32,928,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,70,10,7,49,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,ageratum,1,19,19,50,50,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,rudbeckia,1,67,67,63,63,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,93,10,9,83.7,SG,nsfcut,cut,row,
8/4/2021,2,LAUR,helichrysum,2,9,9,1,2,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,helichrysum,1,31,10,6,18.6,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,ageratum,1,44,30,56,82.13333333,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,ageratum,1,48,5,131,1257.6,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,194,194,276,276,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,33,11,10,30,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,22,2,10,110,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,73,5,20,292,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,12,81,17,2.518518519,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,helichrysum,1,35,35,49,49,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,1,1,6,6,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,calendula,1,7,35,42,8.4,KT,nsfcut,cut,row,pic 9
8/4/2021,2,LAUR,calendula,1,33,33,177,177,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,zinnia,1,33,33,79,79,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,88,16,59,324.5,KT,nsfcut,cut,row,26
8/4/2021,2,LAUR,helichrysum,1,4,4,2,2,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,helichrysum,1,16,16,15,15,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,15,8,27,50.625,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,helichrysum,1,59,10,2,11.8,KT,nsfcut,cut,row,250
8/4/2021,2,LAUR,cosmos,1,145,138,28,29.42028986,KT,nsfcut,cut,row,112
8/4/2021,2,LAUR,cosmos,1,45,10,30,135,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,40,40,103,103,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,7,7,3,3,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,17,17,42,42,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,20,10,3,6,KT,nsfcut,cut,row,
8/4/2021,2,LAUR,cosmos,1,1,1,29,29,KT,nsfcut,cut,row,
8/4/2021,2,SIMP,echinacea,1,10,5,55,110,RY,nsfcut,cut,row,
8/4/2021,2,SIMP,erigeron,1,6,1,78,468,RY,nsfcut,cut,row,
8/4/2021,2,SIMP,erigeron,1,30,5,133,798,RY,nsfcut,cut,row,
8/4/2021,2,SIMP,zinnia,1,73,73,64,64,RY,nsfcut,cut,row,
8/4/2021,2,SIMP,calendula,1,41,41,11,11,RY,nsfcut,cut,row,
8/4/2021,2,SIMP,cosmos,1,57,57,111,111,SG/EK,nsfcut,cut,row,patchy distribution
8/4/2021,2,SIMP,centaurea,1,53,53,33,33,SG/EK,nsfcut,cut,row,patchy distribution
8/4/2021,2,SIMP,zinnia,1,156,10,13,202.8,SG/EK,nsfcut,cut,row,
8/4/2021,2,SIMP,zinnia,1,95,10,13,123.5,SG/EK,nsfcut,cut,row,
8/4/2021,2,SIMP,zinnia,1,49,10,13,63.7,SG/EK,nsfcut,cut,row,
8/4/2021,2,SIMP,cosmos,1,88,20,20,88,SG/EK,nsfcut,cut,row,cosmos tend to flower in patches
8/4/2021,2,SIMP,cosmos,1,41,20,20,41,SG/EK,nsfcut,cut,row,
8/4/2021,2,SIMP,zinnia,1,115,20,58,333.5,SG/EK,nsfcut,cut,row,
8/4/2021,2,SIMP,zinnia,1,183,20,32,292.8,SG/EK,nsfcut,cut,row,
8/4/2021,2,SIMP,zinnia,1,35,20,32,56,SG/EK,nsfcut,cut,row,
8/4/2021,2,SIMP,zinnia,2,74,20,5,37,SG/EK,nsfcut,cut,row,small plants single flower per plant
8/5/2021,2,LAUR,zinnia,1,75,10,5,37.5,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,135,10,5,67.5,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,240,10,31,744,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,120,10,5,60,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,174,10,31,539.4,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,227,10,5,113.5,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,92,10,11,101.2,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,148,10,10,148,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,82,10,7,57.4,SG/EK,nsfcut,cut,row,patchy
